20:13:01 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
20:13:02 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - WebDriverManager: chromedriver setup OK
20:13:03 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - ChromeDriver initialized successfully for thread: 35
20:13:05 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Opening amazon Landing page
20:13:06 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within safeFindElement method
20:13:06 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //a[@id='nav-logo-sprites']]
20:13:07 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Giving input within the search bar
20:13:07 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within safeClick method
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Clicked the  [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Clicking on the submit in the search bar
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Waiting until element is visible in viewport
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within validateDeliveryFilterOptionsWithResult method
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within safeClick method
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Clicked the  [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within getMoreButtonByFilterTypeAndName method
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
20:13:09 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within safeFindElements 
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Returning the  [[[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (4a7a6fc070c130a1952ce6f15c147448)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] this is the set  [Thu, Apr, Today, FREE delivery, Wed, 29, 30, Tomorrow]
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:13:10 [TestNG-test-Test-2] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-13-01] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
