20:34:25 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
20:34:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - WebDriverManager: chromedriver setup OK
20:34:27 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - ChromeDriver initialized successfully for thread: 36
20:34:29 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Opening amazon Landing page
20:34:29 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within safeFindElement method
20:34:30 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //a[@id='nav-logo-sprites']]
20:34:30 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Giving input within the search bar
20:34:30 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within safeClick method
20:34:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Clicked the  [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
20:34:32 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Clicking on the submit in the search bar
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Waiting until element is visible in viewport
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within validateDeliveryFilterOptionsWithResult method
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within safeClick method
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Clicked the  [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within getMoreButtonByFilterTypeAndName method
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
20:34:33 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within safeFindElements 
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Returning the  [[[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (2f0b0a76365bc488d9cc25eb657b0b26)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] this is the set  [Thu, Jun, Today, FREE delivery, 18, 19, Fri, Tomorrow]
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:34:34 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25 - [verifyingGetItByTodayFilterFunctionality_Mobile_20-34-25] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
