20:05:58 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
20:05:59 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - WebDriverManager: chromedriver setup OK
20:06:00 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - ChromeDriver initialized successfully for thread: 36
20:06:03 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Opening amazon Landing page
20:06:03 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within safeFindElement method
20:06:03 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //a[@id='nav-logo-sprites']]
20:06:04 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Giving input within the search bar
20:06:04 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within safeClick method
20:06:06 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Clicked the  [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
20:06:06 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Clicking on the submit in the search bar
20:06:06 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Waiting until element is visible in viewport
20:06:07 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within validateDeliveryFilterOptionsWithResult method
20:06:07 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within safeClick method
20:06:07 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Clicked the  [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
20:06:07 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within getMoreButtonByFilterTypeAndName method
20:06:07 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
20:06:07 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within safeFindElements 
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Returning the  [[[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (394f5487558494441192ed6715f04acf)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] this is the set  [Jun, Today, 26, 27, FREE delivery, Sat, Fri, Tomorrow]
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
20:06:08 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58 - [verifyingGetItByTodayFilterFunctionality_Tablet_20-05-58] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
