19:19:39 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
19:19:40 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - WebDriverManager: chromedriver setup OK
19:19:41 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - ChromeDriver initialized successfully for thread: 36
19:19:43 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Opening amazon Landing page
19:19:43 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within safeFindElement method
19:19:44 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //a[@id='nav-logo-sprites']]
19:19:45 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Giving input within the search bar
19:19:45 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within safeClick method
19:19:47 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Clicked the  [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
19:19:47 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Clicking on the submit in the search bar
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Waiting until element is visible in viewport
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within validateDeliveryFilterOptionsWithResult method
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within safeClick method
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Clicked the  [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It in 2 Days']]   using safeClick
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within getMoreButtonByFilterTypeAndName method
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It in 2 Days']
19:19:48 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within safeFindElements 
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Returning the  [[[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (0fcd0d290ce42985a3127f7438b83d08)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] this is the set  [Jul, Today, FREE delivery, Sat, 18, 19, Sun, Tomorrow]
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:19:49 [TestNG-test-Test-3] INFO  verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39 - [verifyingGetItIn2DaysFilterFunctionality_Mobile_19-19-39] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
