19:31:22 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
19:31:23 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - WebDriverManager: chromedriver setup OK
19:31:24 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - ChromeDriver initialized successfully for thread: 36
19:31:24 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Opening amazon Landing page
19:31:24 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within safeFindElement method
19:31:25 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //a[@id='nav-logo-sprites']]
19:31:26 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Giving input within the search bar
19:31:26 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within safeClick method
19:31:30 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Clicked the  [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
19:31:30 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Clicking on the submit in the search bar
19:31:31 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Waiting until element is visible in viewport
19:31:31 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within validateDeliveryFilterOptionsWithResult method
19:31:31 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within safeClick method
19:31:32 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Clicked the  [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Eligible for Free Delivery']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Free Shipping']]   using safeClick
19:31:32 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within getMoreButtonByFilterTypeAndName method
19:31:32 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Eligible for Free Delivery']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Free Shipping']
19:31:32 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within safeFindElements 
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Returning the  [[[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (c23d7cc4226ea087a6bfe329eddfa9dd)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] this is the set  [22, Jul, Thu, 23, Today, FREE delivery, Wed, Tomorrow]
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:31:33 [TestNG-test-Test-3] INFO  verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22 - [verifyingFreeDeliveryFilterFunctionality_Mobile_19-31-22] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
