19:24:17 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
19:24:18 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - WebDriverManager: chromedriver setup OK
19:24:19 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - ChromeDriver initialized successfully for thread: 36
19:24:21 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Opening amazon Landing page
19:24:22 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within safeFindElement method
19:24:22 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //a[@id='nav-logo-sprites']]
19:24:23 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Giving input within the search bar
19:24:23 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within safeClick method
19:24:24 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Clicked the  [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
19:24:24 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Clicking on the submit in the search bar
19:24:25 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Waiting until element is visible in viewport
19:24:25 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within validateDeliveryFilterOptionsWithResult method
19:24:25 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within safeClick method
19:24:25 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Clicked the  [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']]   using safeClick
19:24:25 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within getMoreButtonByFilterTypeAndName method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It Today']
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within safeFindElements 
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Returning the  [[[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (962cfa625af73225e73bfaf2f1af59f9)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] this is the set  [01, Aug, 02, Today, FREE delivery, Sat, Sun, Tomorrow]
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
19:24:26 [TestNG-test-Test-3] INFO  verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17 - [verifyingGetItByTodayFilterFunctionality_Tablet_19-24-17] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
