17:01:51 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
17:01:52 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - WebDriverManager: chromedriver setup OK
17:01:53 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - ChromeDriver initialized successfully for thread: 36
17:01:54 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Opening amazon Landing page
17:01:54 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within safeFindElement method
17:01:56 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //a[@id='nav-logo-sprites']]
17:01:58 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Giving input within the search bar
17:01:58 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within safeClick method
17:02:00 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Clicked the  [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
17:02:00 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Clicking on the submit in the search bar
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Waiting until element is visible in viewport
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within validateDeliveryFilterOptionsWithResult method
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within safeClick method
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Clicked the  [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It by Tomorrow']]   using safeClick
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within getMoreButtonByFilterTypeAndName method
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It by Tomorrow']
17:02:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within safeFindElements 
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Returning the  [[[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (19919b7f59e71220939a216c74e95ab0)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] this is the set  [Thu, Today, 03, 04, FREE delivery, Fri, Tomorrow, Sep]
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
17:02:02 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51 - [verifyingGetItByTomorrowFilterFunctionality_Laptop_17-01-51] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
