11:29:57 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
11:29:58 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - WebDriverManager: chromedriver setup OK
11:29:59 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - ChromeDriver initialized successfully for thread: 36
11:30:00 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Opening amazon Landing page
11:30:00 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within safeFindElement method
11:30:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //a[@id='nav-logo-sprites']]
11:30:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Giving input within the search bar
11:30:01 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within safeClick method
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Clicked the  [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Clicking on the submit in the search bar
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Waiting until element is visible in viewport
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within validateDeliveryFilterOptionsWithResult method
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within safeClick method
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Clicked the  [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It by Tomorrow']]   using safeClick
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within getMoreButtonByFilterTypeAndName method
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Clicked on By.xpath: //span[@class='a-size-base a-color-base puis-bold-weight-text' and text()='Delivery Day']/parent::div/following-sibling::ul//span[@class='a-size-base a-color-base' and text()='Get It by Tomorrow']
11:30:04 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within safeFindElements 
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Returning the  [[[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']], [[ChromeDriver: chrome on windows (3a438a48290ad3cc865f76167f6f690e)] -> xpath: //div[@class='a-section a-spacing-small a-spacing-top-small']]] from the safeFindElements method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Created hashset with required data to assert with Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] this is the set  [Today, 14, 15, Tue, FREE delivery, Mon, Tomorrow, Sep]
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Checking if the allowedDateParts have the assert text   Within validateDeliveryFilterOptions method
11:30:05 [TestNG-test-Test-3] INFO  verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57 - [verifyingGetItByTomorrowFilterFunctionality_Tablet_11-29-57] Within deliveryElements loop iterating over the products  Within validateDeliveryFilterOptions method
