13:59:02 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - No existing WebDriver found for current thread. Initializing a new ChromeDriver...
13:59:06 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - WebDriverManager: chromedriver setup OK
13:59:18 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - ChromeDriver initialized successfully for thread: 34
13:59:19 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Opening amazon Landing page
13:59:19 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeFindElement method
13:59:24 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Retrying findElement for: ->By.xpath: //a[@id='nav-logo-sprites']
13:59:26 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Refrehsing the page , while trying to safely find : ->By.xpath: //a[@id='nav-logo-sprites']
13:59:32 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02]Found the element returning it ,element ->[[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //a[@id='nav-logo-sprites']]
13:59:33 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Giving input within the search bar
13:59:33 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Within safeClick method
13:59:37 [TestNG-test-Test-1] INFO  verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02 - [verifyingBatteryCapacityFilterFunctionality_Mobile_13-59-02] Clicked the  [[ChromeDriver: chrome on windows (89f56be4a82e7460cd4bf4ed075eece3)] -> xpath: //input[@id='nav-search-submit-button']]   using safeClick
